pelicula_id,actor,personaje
1,Michael B. Jordan,Adonis Creed
1,Tessa Thompson,Bianca Taylor
1,Jonathan Majors,Damien Anderson
1,Wood Harris,Tony 'Little Duke' Evers
1,Phylicia Rashād,Mary Anne Creed
1,Mila Davis-Kent,Amara Creed
1,Florian Munteanu,Viktor Drago
1,José Benavidez Jr.,Felix Chavez
1,Selenis Leyva,Laura Chavez
2,Sam Worthington,Jake Sully
2,Zoe Saldaña,Neytiri
2,Sigourney Weaver,Kiri / Dr. Grace Augustine
2,Stephen Lang,Colonel Miles Quaritch
2,Kate Winslet,Ronal
2,Cliff Curtis,Tonowari
2,Joel David Moore,Norm Spellman
2,CCH Pounder,Mo'at
2,Edie Falco,General Frances Ardmore
3,Chris Pratt,Mario (voice)
3,Anya Taylor-Joy,Princess Peach (voice)
3,Charlie Day,Luigi (voice)
3,Jack Black,Bowser (voice)
3,Keegan-Michael Key,Toad (voice)
3,Seth Rogen,Donkey Kong (voice)
3,Fred Armisen,Cranky Kong (voice)
3,Kevin Michael Richardson,Kamek (voice)
3,Sebastian Maniscalco,Spike (voice)
4,Óscar Barberán,Thut (voice)
4,Ana Esther Alborg,Nefer (voice)
4,Luis Pérez Reina,Carnaby (voice)
4,María Luisa Solá,Madre (voice)
4,Jaume Solà,Sekhem (voice)
4,José Luis Mediavilla,Ed (voice)
4,José Javier Serrano Rodríguez,Danny (voice)
4,Aleix Estadella,Dennis (voice)
4,María Moscardó,Usi (voice)
5,Skeet Ulrich,Roy Cameron
5,Anne Heche,Dr Quinn Brody
5,Daniel Diemer,William Brody
5,Jordan Kristine Seamón,Harper Hunter
5,Alec Baldwin,Zane Rogers
5,Richard Gunn,Bill Brody
5,Praya Lundberg,Amy
5,Johnny Wactor,Martin
5,Anjul Nigam,Ramesh
6,Keri Russell,Sari
6,Alden Ehrenreich,Eddie
6,O'Shea Jackson Jr.,Daveed
6,Ray Liotta,Syd
6,Kristofer Hivju,Olaf (Kristoffer)
6,Margo Martindale,Ranger Liz
6,Christian Convery,Henry
6,Isiah Whitlock Jr.,Bob
6,Jesse Tyler Ferguson,Peter
7,Keanu Reeves,John Wick
7,Donnie Yen,Caine
7,Bill Skarsgård,Marquis de Gramont
7,Ian McShane,Winston
7,Laurence Fishburne,Bowery King
7,Lance Reddick,Charon
7,Clancy Brown,The Harbinger
7,Hiroyuki Sanada,Shimazu
7,Shamier Anderson,Mr Nobody
8,Antonio Banderas,Puss in Boots (voice)
8,Salma Hayek,Kitty Softpaws (voice)
8,Harvey Guillén,Perrito (voice)
8,Wagner Moura,Wolf (voice)
8,Florence Pugh,Goldilocks (voice)
8,Olivia Colman,Mama Bear (voice)
8,Ray Winstone,Papa Bear (voice)
8,Samson Kayo,Baby Bear (voice)
8,John Mulaney,Jack Horner (voice)
9,Paul Bianchi,Computer (voice)
9,Erin Coker,Allison Quince
9,Jack Pearson,Max Reece
9,Anthony Jensen,Jowers
9,Neli Sabour,Heidi Quince
9,Karan Sagoo,Adrian Naidu
9,Natalie Storrs,Saoirse Parker
9,Justin Tanks,Mark Morales
9,Jenny Tran,Kim Costa
10,Chloe Guidry,Ines
10,Nhedrick Jabier,Bui
10,Carmina Garay,Kuan
10,Billy Slaughter,Martin Parker
10,Carli McIntyre,Rue
10,Laura Coover,Reporter
10,Presley Richardson,Bennett
10,Sean Papajohn,Jack
10,Legend Jay Jones,Slingshot Gang
11,Craig David Dowsett,Pooh Bear
11,Chris Cordell,Piglet
11,Amber Doig-Thorne,Alice
11,Natasha Tosini,Lara
11,Maria Taylor,Maria
11,Nikolai Leon,Christopher Robin
11,May Kelly,Tina
11,Danielle Ronald,Zoe
11,Danielle Scott,Charlene
12,María Evoli,Ofelia
12,Diana Bracho,
12,Tina Romero,Julia
12,Norma Lazareno,Señora Ramirez
12,Pilar Santacruz,Sandra
12,Salvador Sánchez,Señor Ramirez
12,Julio Bracho,Padre Victor
12,Ramón Medína,Fabian
13,Adam Sandler,Nick
13,Jennifer Aniston,Audrey
13,Mark Strong,Miller
13,Mélanie Laurent,Claudette
13,Jodie Turner-Smith,Countess Sekou
13,John Kani,Colonel Ulenga
13,Kuhoo Verma,Saira
13,Dany Boon,Inspector Delacroix
13,Adeel Akhtar,The Maharajah
14,Letitia Wright,Shuri / Black Panther
14,Lupita Nyong'o,Nakia
14,Danai Gurira,Okoye
14,Winston Duke,M'Baku
14,Dominique Thorne,Riri Williams / Ironheart
14,Tenoch Huerta Mejía,Namor
14,Angela Bassett,Ramonda
14,Florence Kasumba,Ayo
14,Michaela Coel,Aneka
15,Russell Crowe,Father Gabriele Amorth
15,Daniel Zovatto,Father Esquibel
15,Alex Essoe,Julia
15,Franco Nero,The Pope
15,Laurel Marsden,Amy
15,Cornell John,Bishop Lumumba
15,Ralph Ineson,Demon (voice)
15,River Hawkins,Enzo
15,Pablo Raybould,Bishop Barbuto
16,Matt Hookings,Jem Belcher
16,Ray Winstone,Bill Warr
16,Jodhi May,Mary Belcher
16,Marton Csokas,Lord Rushworth
16,Russell Crowe,Jack Slack
16,Steven Berkoff,Walter
16,Julian Glover,Lord Ashford
17,Dave Bautista,Leonard
17,Jonathan Groff,Eric
17,Ben Aldridge,Andrew
17,Kristen Cui,Wen
17,Nikki Amuka-Bird,Sabrina
17,Rupert Grint,Redmond
17,Abby Quinn,Adriane
17,Clare Louise Frost,Infomercial Co-Host
17,McKenna Kerrigan,Andrew's Mom
18,Alice Orr-Ewing,Laura
18,Joe Doyle,Father Marconi / Michael
18,Eveline Hall,Liz
18,Peter Mensah,Archangel Michael
18,Joe Anderson,Lucifer
18,Brian Caspe,Dr. Laurent
18,Spencer Wilding,Beast of the Ground
18,James Faulkner,Cardinal Vincini
18,Victoria Chilap,Brenda
19,Natalia Reddersen,Rena
19,Willy Semler,Salvador
19,Alexandra Von Hummel,Emilia
19,Felipe Valenzuela,Mateo
20,Jon Øigarden,Fredrik Haslund
20,Ida Elise Broch,Nini Haslund Gleditsch
20,Sven Nordin,Odd Henry
20,Eivind Sander,Major Bjørn Sunde
20,Axel Bøyum,Ingvar
20,Morten Svartveit,Nordahl Grieg
20,Anatole Taubman,Major Otto Stoltmann
20,Thorbjørn Harr,Oscar Torp
20,Gard B. Eidsvold,Andreas Lund
21,Noah Jupe,Peter (voice)
21,Mandy Patinkin,Vilna (voice)
21,Brian Tyree Henry,Leo Matienne (voice)
21,Natasia Demetriou,Narrator / Fortune Teller (voice)
21,Sian Clifford,Gloria Matienne (voice)
21,Benedict Wong,Magician (voice)
21,Miranda Richardson,Madam LaVaughn (voice)
21,Kirby Howell-Baptiste,The Countess (voice)
21,Aasif Mandvi,The King (voice)
22,Gerard Butler,Brodie Torrance
22,Mike Colter,Louis Gaspare
22,Yoson An,Dele
22,Tony Goldwyn,Scarsdale
22,Daniella Pineda,Bonnie
22,Paul Ben-Victor,Hampton
22,Remi Adeleke,Shellback
22,Joey Slotnick,Sinclair
22,Evan Dane Taylor,Junmar
23,Jim Caviezel,Jesus
23,Maia Morgenstern,Maria
23,Christo Jivkov,Juan
23,Francesco De Vito,Pedro
23,Monica Bellucci,Magdalena
23,Mattia Sbragia,Caifás
23,Toni Bertorelli,Anás
23,Luca Lionello,Judas
23,Hristo Shopov,Poncio Pilato
24,David Giuntoli,Batman / Bruce Wayne (voice)
24,Patrick Fabian,Harvey Dent / Two-Face (voice)
24,John DiMaggio,James Gordon (voice)
24,Karan Brar,Sanjay 'Jay' Tawde (voice)
24,Navid Negahban,Ra's al Ghul (voice)
24,Darin De Paul,Thomas Wayne (voice)
24,Emily O'Brien,Talia al Ghul / Martha Wayne (voice)
24,Christopher Gorham,Oliver Queen / Green Arrow (voice)
24,David Dastmalchian,Grendon (voice)
25,Zachary Levi,Shazam
25,Asher Angel,Billy Batson
25,Jack Dylan Grazer,Freddy Freeman
25,Grace Caroline Currey,Mary Bromfield / Super Hero Mary
25,Helen Mirren,Hespera
25,Lucy Liu,Kalypso
25,Rachel Zegler,Anthea
25,Adam Brody,Super Hero Freddy
25,Meagan Good,Super Hero Darla
26,Jena Malone,Grace
26,Danny Huston,Father Romero
26,Thoren Ferguson,DCI Harris
26,Janet Suzman,Mother Superior
